epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1667927943652,2022-11-08T19:19:03.652,0.000,-0.181,0.316,-0.949
1667927943692,2022-11-08T19:19:03.692,0.040,-0.185,0.314,-0.957
1667927943732,2022-11-08T19:19:03.732,0.080,-0.187,0.308,-0.956
1667927943772,2022-11-08T19:19:03.772,0.120,-0.185,0.315,-0.954
1667927943812,2022-11-08T19:19:03.812,0.160,-0.181,0.317,-0.956
1667927943852,2022-11-08T19:19:03.852,0.200,-0.184,0.317,-0.954
1667927943892,2022-11-08T19:19:03.892,0.240,-0.186,0.312,-0.957
1667927943932,2022-11-08T19:19:03.932,0.280,-0.187,0.313,-0.956
1667927943972,2022-11-08T19:19:03.972,0.320,-0.184,0.311,-0.955
1667927944012,2022-11-08T19:19:04.012,0.360,-0.186,0.311,-0.956
1667927944052,2022-11-08T19:19:04.052,0.400,-0.186,0.308,-0.955
1667927944092,2022-11-08T19:19:04.092,0.440,-0.183,0.318,-0.954
1667927944132,2022-11-08T19:19:04.132,0.480,-0.178,0.324,-0.954
1667927944172,2022-11-08T19:19:04.172,0.520,-0.188,0.304,-0.956
1667927944212,2022-11-08T19:19:04.212,0.560,-0.188,0.307,-0.956
1667927944252,2022-11-08T19:19:04.252,0.600,-0.185,0.308,-0.956
1667927944292,2022-11-08T19:19:04.292,0.640,-0.179,0.323,-0.953
1667927944332,2022-11-08T19:19:04.332,0.680,-0.180,0.322,-0.953
1667927944372,2022-11-08T19:19:04.372,0.720,-0.188,0.308,-0.955
1667927944412,2022-11-08T19:19:04.412,0.760,-0.190,0.310,-0.955
1667927944452,2022-11-08T19:19:04.452,0.800,-0.185,0.311,-0.956
1667927944492,2022-11-08T19:19:04.492,0.840,-0.182,0.319,-0.954
1667927944532,2022-11-08T19:19:04.532,0.880,-0.183,0.315,-0.956
1667927944572,2022-11-08T19:19:04.572,0.920,-0.185,0.309,-0.956
1667927944612,2022-11-08T19:19:04.612,0.960,-0.184,0.313,-0.954
1667927944652,2022-11-08T19:19:04.652,1.000,-0.184,0.316,-0.954
1667927944692,2022-11-08T19:19:04.692,1.040,-0.180,0.316,-0.954
1667927944732,2022-11-08T19:19:04.732,1.080,-0.183,0.315,-0.954
1667927944772,2022-11-08T19:19:04.772,1.120,-0.184,0.312,-0.956
1667927944812,2022-11-08T19:19:04.812,1.160,-0.182,0.316,-0.954
1667927944852,2022-11-08T19:19:04.852,1.200,-0.181,0.315,-0.955
1667927944892,2022-11-08T19:19:04.892,1.240,-0.182,0.313,-0.955
1667927944932,2022-11-08T19:19:04.932,1.280,-0.181,0.316,-0.954
1667927944972,2022-11-08T19:19:04.972,1.320,-0.182,0.317,-0.954
1667927945012,2022-11-08T19:19:05.012,1.360,-0.184,0.314,-0.954
1667927945052,2022-11-08T19:19:05.052,1.400,-0.185,0.310,-0.956
1667927945092,2022-11-08T19:19:05.092,1.440,-0.184,0.313,-0.955
1667927945132,2022-11-08T19:19:05.132,1.480,-0.185,0.314,-0.955
1667927945172,2022-11-08T19:19:05.172,1.520,-0.183,0.320,-0.953
1667927945212,2022-11-08T19:19:05.212,1.560,-0.184,0.321,-0.952
1667927945252,2022-11-08T19:19:05.252,1.600,-0.190,0.313,-0.952
1667927945292,2022-11-08T19:19:05.292,1.640,-0.191,0.315,-0.953
1667927945332,2022-11-08T19:19:05.332,1.680,-0.189,0.322,-0.951
1667927945372,2022-11-08T19:19:05.372,1.720,-0.192,0.315,-0.953
1667927945412,2022-11-08T19:19:05.412,1.760,-0.190,0.317,-0.954
1667927945452,2022-11-08T19:19:05.452,1.800,-0.189,0.320,-0.952
1667927945492,2022-11-08T19:19:05.492,1.840,-0.188,0.321,-0.951
1667927945532,2022-11-08T19:19:05.532,1.880,-0.189,0.319,-0.953
1667927945572,2022-11-08T19:19:05.572,1.920,-0.190,0.310,-0.955
1667927945612,2022-11-08T19:19:05.612,1.960,-0.189,0.315,-0.953
1667927945652,2022-11-08T19:19:05.652,2.000,-0.182,0.314,-0.953
1667927945692,2022-11-08T19:19:05.692,2.040,-0.181,0.312,-0.953
1667927945732,2022-11-08T19:19:05.732,2.080,-0.184,0.315,-0.953
1667927945772,2022-11-08T19:19:05.772,2.120,-0.185,0.314,-0.954
1667927945812,2022-11-08T19:19:05.812,2.160,-0.183,0.318,-0.954
1667927945852,2022-11-08T19:19:05.852,2.200,-0.186,0.311,-0.954
1667927945892,2022-11-08T19:19:05.892,2.240,-0.182,0.313,-0.954
1667927945932,2022-11-08T19:19:05.932,2.280,-0.183,0.319,-0.953
1667927945972,2022-11-08T19:19:05.972,2.320,-0.184,0.314,-0.953
1667927946012,2022-11-08T19:19:06.012,2.360,-0.182,0.320,-0.953
1667927946052,2022-11-08T19:19:06.052,2.400,-0.182,0.320,-0.953
1667927946092,2022-11-08T19:19:06.092,2.440,-0.182,0.315,-0.954
1667927946132,2022-11-08T19:19:06.132,2.480,-0.182,0.317,-0.953
1667927946172,2022-11-08T19:19:06.172,2.520,-0.183,0.315,-0.954
1667927946212,2022-11-08T19:19:06.212,2.560,-0.181,0.318,-0.953
1667927946252,2022-11-08T19:19:06.252,2.600,-0.181,0.319,-0.953
1667927946292,2022-11-08T19:19:06.292,2.640,-0.181,0.316,-0.954
1667927946332,2022-11-08T19:19:06.332,2.680,-0.182,0.320,-0.953
1667927946372,2022-11-08T19:19:06.372,2.720,-0.183,0.317,-0.954
1667927946412,2022-11-08T19:19:06.412,2.760,-0.181,0.317,-0.952
1667927946452,2022-11-08T19:19:06.452,2.800,-0.183,0.316,-0.952
1667927946492,2022-11-08T19:19:06.492,2.840,-0.181,0.316,-0.954
1667927946532,2022-11-08T19:19:06.532,2.880,-0.182,0.320,-0.952
1667927946572,2022-11-08T19:19:06.572,2.920,-0.182,0.315,-0.954
1667927946612,2022-11-08T19:19:06.612,2.960,-0.181,0.317,-0.954
1667927946652,2022-11-08T19:19:06.652,3.000,-0.182,0.318,-0.953
1667927946692,2022-11-08T19:19:06.692,3.040,-0.182,0.316,-0.954
1667927946732,2022-11-08T19:19:06.732,3.080,-0.182,0.318,-0.954
1667927946772,2022-11-08T19:19:06.772,3.120,-0.183,0.314,-0.953
1667927946812,2022-11-08T19:19:06.812,3.160,-0.183,0.316,-0.953
1667927946852,2022-11-08T19:19:06.852,3.200,-0.182,0.314,-0.954
1667927946892,2022-11-08T19:19:06.892,3.240,-0.180,0.314,-0.954
1667927946932,2022-11-08T19:19:06.932,3.280,-0.180,0.316,-0.954
1667927946972,2022-11-08T19:19:06.972,3.320,-0.180,0.322,-0.953
