epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1667927943493,2022-11-08T19:19:03.493,0.000,-0.701,-0.152,0.427
1667927943533,2022-11-08T19:19:03.533,0.040,-0.518,-0.579,0.640
1667927943573,2022-11-08T19:19:03.573,0.080,-0.335,-0.366,0.579
1667927943613,2022-11-08T19:19:03.613,0.120,-0.854,0.152,0.396
1667927943653,2022-11-08T19:19:03.653,0.160,-0.579,-0.305,0.213
1667927943693,2022-11-08T19:19:03.693,0.200,-0.061,-0.396,0.213
1667927943733,2022-11-08T19:19:03.733,0.240,-0.335,-0.335,0.518
1667927943773,2022-11-08T19:19:03.773,0.280,-0.945,-0.244,0.701
1667927943813,2022-11-08T19:19:03.813,0.320,-0.640,-0.183,0.640
1667927943853,2022-11-08T19:19:03.853,0.360,-0.091,-0.640,0.518
1667927943893,2022-11-08T19:19:03.893,0.400,0.274,-0.549,0.457
1667927943933,2022-11-08T19:19:03.933,0.440,0.213,-0.427,0.366
1667927943973,2022-11-08T19:19:03.973,0.480,0.000,-0.152,0.366
1667927944013,2022-11-08T19:19:04.013,0.520,-0.427,-0.335,0.213
1667927944053,2022-11-08T19:19:04.053,0.560,-0.854,0.000,0.305
1667927944093,2022-11-08T19:19:04.093,0.600,-1.220,0.213,0.305
1667927944133,2022-11-08T19:19:04.133,0.640,-0.122,-0.396,0.000
1667927944173,2022-11-08T19:19:04.173,0.680,0.854,-0.671,-0.061
1667927944213,2022-11-08T19:19:04.213,0.720,-0.213,-0.244,0.122
1667927944253,2022-11-08T19:19:04.253,0.760,-1.311,0.213,0.549
1667927944293,2022-11-08T19:19:04.293,0.800,-1.677,-0.091,0.945
1667927944333,2022-11-08T19:19:04.333,0.840,-0.061,-0.610,0.915
1667927944373,2022-11-08T19:19:04.373,0.880,0.823,-1.037,0.671
1667927944413,2022-11-08T19:19:04.413,0.920,0.030,-0.488,0.488
1667927944453,2022-11-08T19:19:04.453,0.960,-0.762,0.305,0.488
1667927944493,2022-11-08T19:19:04.493,1.000,-0.884,0.183,0.396
1667927944533,2022-11-08T19:19:04.533,1.040,-0.305,0.000,0.366
1667927944573,2022-11-08T19:19:04.573,1.080,-0.366,-0.122,0.335
1667927944613,2022-11-08T19:19:04.613,1.120,-1.037,0.000,0.427
1667927944653,2022-11-08T19:19:04.653,1.160,-1.006,0.274,0.488
1667927944693,2022-11-08T19:19:04.693,1.200,-0.549,0.305,0.457
1667927944733,2022-11-08T19:19:04.733,1.240,-0.305,-0.061,0.366
1667927944773,2022-11-08T19:19:04.773,1.280,-0.396,0.152,0.427
1667927944813,2022-11-08T19:19:04.813,1.320,-0.518,-0.122,0.305
1667927944853,2022-11-08T19:19:04.853,1.360,-0.335,-0.244,0.213
1667927944893,2022-11-08T19:19:04.893,1.400,-0.305,-0.274,0.335
1667927944933,2022-11-08T19:19:04.933,1.440,-0.762,-0.244,0.457
1667927944973,2022-11-08T19:19:04.973,1.480,-0.488,-0.457,0.335
1667927945013,2022-11-08T19:19:05.013,1.520,-0.396,-0.762,0.183
1667927945053,2022-11-08T19:19:05.053,1.560,-0.793,-0.671,0.122
1667927945093,2022-11-08T19:19:05.093,1.600,-1.341,-1.006,-0.061
1667927945133,2022-11-08T19:19:05.133,1.640,-1.280,-1.159,0.152
1667927945173,2022-11-08T19:19:05.173,1.680,-0.945,-2.287,-0.518
1667927945213,2022-11-08T19:19:05.213,1.720,-0.701,-2.165,-0.396
1667927945253,2022-11-08T19:19:05.253,1.760,-0.335,-2.195,-0.518
1667927945293,2022-11-08T19:19:05.293,1.800,-0.549,-2.043,0.000
1667927945333,2022-11-08T19:19:05.333,1.840,-1.006,-1.128,-0.030
1667927945373,2022-11-08T19:19:05.373,1.880,-0.396,-1.128,-0.152
1667927945413,2022-11-08T19:19:05.413,1.920,-0.671,0.152,0.793
1667927945453,2022-11-08T19:19:05.453,1.960,-0.671,1.037,1.006
1667927945493,2022-11-08T19:19:05.493,2.000,-0.213,1.220,0.915
1667927945533,2022-11-08T19:19:05.533,2.040,0.366,1.159,0.671
1667927945573,2022-11-08T19:19:05.573,2.080,0.732,0.640,0.366
1667927945613,2022-11-08T19:19:05.613,2.120,0.061,0.854,0.427
1667927945653,2022-11-08T19:19:05.653,2.160,0.244,1.280,0.244
1667927945693,2022-11-08T19:19:05.693,2.200,-0.122,0.579,0.274
1667927945733,2022-11-08T19:19:05.733,2.240,-0.427,0.030,0.183
1667927945773,2022-11-08T19:19:05.773,2.280,-0.579,0.213,0.274
1667927945813,2022-11-08T19:19:05.813,2.320,-0.671,0.000,0.305
1667927945853,2022-11-08T19:19:05.853,2.360,-0.335,-0.152,0.396
1667927945893,2022-11-08T19:19:05.893,2.400,-0.823,0.122,0.701
1667927945933,2022-11-08T19:19:05.933,2.440,-0.915,-0.213,0.762
1667927945973,2022-11-08T19:19:05.973,2.480,-0.610,-0.061,0.762
1667927946013,2022-11-08T19:19:06.013,2.520,-0.976,0.030,0.854
1667927946053,2022-11-08T19:19:06.053,2.560,-0.579,-0.061,0.854
1667927946093,2022-11-08T19:19:06.093,2.600,-0.213,-0.061,0.701
1667927946133,2022-11-08T19:19:06.133,2.640,-0.335,-0.244,0.457
1667927946173,2022-11-08T19:19:06.173,2.680,-0.549,-0.061,0.518
1667927946213,2022-11-08T19:19:06.213,2.720,-0.701,-0.122,0.518
1667927946253,2022-11-08T19:19:06.253,2.760,-0.549,-0.091,0.488
1667927946293,2022-11-08T19:19:06.293,2.800,-0.396,-0.213,0.396
1667927946333,2022-11-08T19:19:06.333,2.840,-0.274,-0.396,0.305
1667927946373,2022-11-08T19:19:06.373,2.880,-0.061,-0.457,0.244
1667927946413,2022-11-08T19:19:06.413,2.920,-0.274,-0.427,0.213
1667927946453,2022-11-08T19:19:06.453,2.960,-0.213,-0.366,0.274
1667927946493,2022-11-08T19:19:06.493,3.000,-0.366,-0.091,0.427
1667927946533,2022-11-08T19:19:06.533,3.040,-0.457,-0.366,0.335
1667927946573,2022-11-08T19:19:06.573,3.080,-0.183,-0.183,0.274
1667927946613,2022-11-08T19:19:06.613,3.120,-0.244,-0.274,0.305
1667927946653,2022-11-08T19:19:06.653,3.160,-0.213,-0.427,0.274
1667927946693,2022-11-08T19:19:06.693,3.200,-0.122,-0.183,0.305
1667927946733,2022-11-08T19:19:06.733,3.240,-0.091,-0.305,0.305
1667927946773,2022-11-08T19:19:06.773,3.280,0.000,-0.305,0.274
1667927946813,2022-11-08T19:19:06.813,3.320,-0.335,-0.244,0.152
1667927946853,2022-11-08T19:19:06.853,3.360,-0.457,-0.213,0.274
1667927946893,2022-11-08T19:19:06.893,3.400,-0.915,-0.091,0.457
1667927946933,2022-11-08T19:19:06.933,3.440,-1.128,-0.366,0.396
1667927946973,2022-11-08T19:19:06.973,3.480,-1.037,-0.305,0.335
1667927947013,2022-11-08T19:19:07.013,3.520,-0.152,-0.549,0.122
1667927947053,2022-11-08T19:19:07.053,3.560,0.061,-0.518,0.091
1667927947093,2022-11-08T19:19:07.093,3.600,-0.457,-0.335,0.274
1667927947133,2022-11-08T19:19:07.133,3.640,-0.518,0.061,0.427
1667927947173,2022-11-08T19:19:07.173,3.680,-0.335,-0.244,0.305
1667927947213,2022-11-08T19:19:07.213,3.720,-0.061,-0.274,0.396
1667927947253,2022-11-08T19:19:07.253,3.760,-0.640,0.000,0.518
1667927947293,2022-11-08T19:19:07.293,3.800,-0.518,-0.122,0.488
1667927947333,2022-11-08T19:19:07.333,3.840,-0.244,-0.213,0.366
1667927947373,2022-11-08T19:19:07.373,3.880,-0.671,-0.122,0.427
1667927947413,2022-11-08T19:19:07.413,3.920,-0.854,-0.091,0.549
1667927947453,2022-11-08T19:19:07.453,3.960,-0.244,-0.488,0.274
1667927947493,2022-11-08T19:19:07.493,4.000,-0.244,-0.213,0.366
1667927947533,2022-11-08T19:19:07.533,4.040,-0.488,-0.122,0.396
1667927947573,2022-11-08T19:19:07.573,4.080,-0.244,-0.274,0.396
1667927947613,2022-11-08T19:19:07.613,4.120,-0.549,-0.030,0.488
1667927947653,2022-11-08T19:19:07.653,4.160,-0.518,-0.335,0.274
1667927947693,2022-11-08T19:19:07.693,4.200,-0.274,-0.274,0.244
1667927947733,2022-11-08T19:19:07.733,4.240,-0.091,-0.274,0.366
1667927947773,2022-11-08T19:19:07.773,4.280,-0.030,-0.427,0.305
1667927947813,2022-11-08T19:19:07.813,4.320,-0.396,-0.091,0.427
1667927947853,2022-11-08T19:19:07.853,4.360,-0.427,-0.366,0.366
1667927947893,2022-11-08T19:19:07.893,4.400,-0.518,-0.091,0.488
1667927947933,2022-11-08T19:19:07.933,4.440,-0.396,-0.274,0.305
1667927947973,2022-11-08T19:19:07.973,4.480,-0.335,-0.305,0.366
1667927948013,2022-11-08T19:19:08.013,4.520,-0.549,0.000,0.457
1667927948053,2022-11-08T19:19:08.053,4.560,-0.396,-0.244,0.396
1667927948093,2022-11-08T19:19:08.093,4.600,-0.305,-0.427,0.305
1667927948133,2022-11-08T19:19:08.133,4.640,-0.457,-0.244,0.366
1667927948173,2022-11-08T19:19:08.173,4.680,-0.518,-0.457,0.305
1667927948213,2022-11-08T19:19:08.213,4.720,-0.335,-0.396,0.335
1667927948253,2022-11-08T19:19:08.253,4.760,-0.427,-0.488,0.335
1667927948293,2022-11-08T19:19:08.293,4.800,-0.335,-0.427,0.366
1667927948333,2022-11-08T19:19:08.333,4.840,-0.549,-0.366,0.366
1667927948373,2022-11-08T19:19:08.373,4.880,-0.335,-0.305,0.427
1667927948413,2022-11-08T19:19:08.413,4.920,-0.701,-0.152,0.518
1667927948453,2022-11-08T19:19:08.453,4.960,-0.671,-0.152,0.427
1667927948493,2022-11-08T19:19:08.493,5.000,0.305,0.549,0.366
1667927948533,2022-11-08T19:19:08.533,5.040,0.701,0.610,0.457
1667927948573,2022-11-08T19:19:08.573,5.080,0.000,1.037,0.305
1667927948613,2022-11-08T19:19:08.613,5.120,1.311,-0.030,0.122
1667927948653,2022-11-08T19:19:08.653,5.160,0.976,-0.762,0.396
1667927948693,2022-11-08T19:19:08.693,5.200,0.122,-0.915,0.945
