epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1667157585998,2022-10-30T21:19:45.998,0.000,-0.183,0.061,-0.244
1667157586038,2022-10-30T21:19:46.038,0.040,-0.152,-0.152,-0.183
1667157586077,2022-10-30T21:19:46.077,0.079,0.000,0.091,-0.091
1667157586117,2022-10-30T21:19:46.117,0.119,-0.030,0.122,-0.122
1667157586156,2022-10-30T21:19:46.156,0.158,0.183,0.091,-0.183
1667157586196,2022-10-30T21:19:46.196,0.198,0.091,0.183,-0.122
1667157586235,2022-10-30T21:19:46.235,0.237,0.152,0.152,-0.030
1667157586275,2022-10-30T21:19:46.275,0.277,0.274,0.000,-0.213
1667157586315,2022-10-30T21:19:46.315,0.317,0.000,-0.091,-0.244
1667157586354,2022-10-30T21:19:46.354,0.356,-0.061,0.122,-0.091
1667157586394,2022-10-30T21:19:46.394,0.396,0.030,0.427,-0.152
1667157586433,2022-10-30T21:19:46.433,0.435,-0.030,0.305,-0.152
1667157586473,2022-10-30T21:19:46.473,0.475,0.061,0.244,-0.091
1667157586512,2022-10-30T21:19:46.512,0.514,0.305,0.335,-0.061
1667157586552,2022-10-30T21:19:46.552,0.554,0.518,0.518,-0.244
1667157586591,2022-10-30T21:19:46.591,0.593,0.122,0.427,-0.152
1667157586631,2022-10-30T21:19:46.631,0.633,0.091,0.305,0.030
1667157586671,2022-10-30T21:19:46.671,0.673,0.213,0.305,-0.091
1667157586710,2022-10-30T21:19:46.710,0.712,0.122,0.274,-0.183
1667157586750,2022-10-30T21:19:46.750,0.752,-0.030,0.122,-0.091
1667157586789,2022-10-30T21:19:46.789,0.791,-0.091,-0.061,0.030
1667157586829,2022-10-30T21:19:46.829,0.831,0.366,-0.091,-0.030
1667157586868,2022-10-30T21:19:46.868,0.870,0.061,0.183,-0.091
1667157586908,2022-10-30T21:19:46.908,0.910,-0.183,0.274,0.122
1667157586947,2022-10-30T21:19:46.947,0.949,-0.244,0.183,0.122
1667157586987,2022-10-30T21:19:46.987,0.989,-0.305,0.549,-0.061
1667157587026,2022-10-30T21:19:47.026,1.028,-0.305,0.610,0.152
1667157587066,2022-10-30T21:19:47.066,1.068,0.030,0.549,0.152
1667157587106,2022-10-30T21:19:47.106,1.108,-0.305,0.457,0.061
1667157587145,2022-10-30T21:19:47.145,1.147,-0.396,0.488,0.030
1667157587185,2022-10-30T21:19:47.185,1.187,-0.122,0.854,0.579
1667157587224,2022-10-30T21:19:47.224,1.226,0.061,0.366,0.366
1667157587264,2022-10-30T21:19:47.264,1.266,-0.152,0.152,0.091
1667157587303,2022-10-30T21:19:47.303,1.305,0.000,0.061,0.061
1667157587343,2022-10-30T21:19:47.343,1.345,0.213,0.091,0.030
1667157587382,2022-10-30T21:19:47.382,1.384,-0.030,0.061,-0.030
1667157587422,2022-10-30T21:19:47.422,1.424,0.061,-0.122,-0.061
1667157587462,2022-10-30T21:19:47.462,1.464,0.152,-0.061,-0.152
1667157587501,2022-10-30T21:19:47.501,1.503,0.030,0.122,-0.091
1667157587541,2022-10-30T21:19:47.541,1.543,0.000,0.122,-0.030
1667157587580,2022-10-30T21:19:47.580,1.582,-0.091,0.061,-0.030
1667157587620,2022-10-30T21:19:47.620,1.622,0.061,0.091,-0.030
1667157587659,2022-10-30T21:19:47.659,1.661,0.091,0.122,-0.091
1667157587699,2022-10-30T21:19:47.699,1.701,0.183,0.061,-0.030
1667157587738,2022-10-30T21:19:47.738,1.740,0.030,-0.152,0.000
1667157587778,2022-10-30T21:19:47.778,1.780,0.122,-0.244,-0.061
1667157587817,2022-10-30T21:19:47.817,1.819,0.244,-0.091,-0.091
1667157587857,2022-10-30T21:19:47.857,1.859,0.122,0.000,-0.061
1667157587897,2022-10-30T21:19:47.897,1.899,0.000,-0.030,-0.030
1667157587936,2022-10-30T21:19:47.936,1.938,-0.213,-0.091,-0.152
1667157587976,2022-10-30T21:19:47.976,1.978,0.030,0.000,-0.183
1667157588015,2022-10-30T21:19:48.015,2.017,0.030,0.000,-0.061
1667157588055,2022-10-30T21:19:48.055,2.057,0.091,0.030,-0.091
1667157588094,2022-10-30T21:19:48.094,2.096,0.122,-0.061,-0.030
1667157588134,2022-10-30T21:19:48.134,2.136,0.061,0.000,-0.152
1667157588173,2022-10-30T21:19:48.173,2.175,0.274,0.061,-0.183
1667157588213,2022-10-30T21:19:48.213,2.215,0.122,-0.122,-0.152
1667157588253,2022-10-30T21:19:48.253,2.255,0.152,-0.091,-0.152
1667157588292,2022-10-30T21:19:48.292,2.294,0.152,-0.061,-0.213
1667157588332,2022-10-30T21:19:48.332,2.334,0.213,0.091,-0.274
1667157588371,2022-10-30T21:19:48.371,2.373,0.183,0.000,-0.091
1667157588411,2022-10-30T21:19:48.411,2.413,0.122,-0.091,-0.183
1667157588450,2022-10-30T21:19:48.450,2.452,0.213,0.122,-0.305
1667157588490,2022-10-30T21:19:48.490,2.492,0.061,0.152,-0.305
1667157588529,2022-10-30T21:19:48.529,2.531,0.122,0.122,-0.274
1667157588569,2022-10-30T21:19:48.569,2.571,0.122,0.152,-0.305
1667157588609,2022-10-30T21:19:48.609,2.611,0.152,0.152,-0.213
1667157588648,2022-10-30T21:19:48.648,2.650,0.183,0.061,-0.122
1667157588688,2022-10-30T21:19:48.688,2.690,0.152,0.000,-0.030
1667157588727,2022-10-30T21:19:48.727,2.729,-0.030,-0.152,-0.030
1667157588767,2022-10-30T21:19:48.767,2.769,0.427,0.000,-0.152
1667157588806,2022-10-30T21:19:48.806,2.808,0.549,0.000,-0.152
1667157588846,2022-10-30T21:19:48.846,2.848,0.396,-0.427,0.152
1667157588885,2022-10-30T21:19:48.885,2.887,0.244,-0.457,0.000
1667157588925,2022-10-30T21:19:48.925,2.927,0.152,-0.274,-0.274
1667157588964,2022-10-30T21:19:48.964,2.966,0.000,-0.335,-0.183
1667157589004,2022-10-30T21:19:49.004,3.006,-0.183,-0.244,-0.091
1667157589044,2022-10-30T21:19:49.044,3.046,0.030,-0.244,0.000
1667157589083,2022-10-30T21:19:49.083,3.085,0.152,-0.305,0.061
1667157589123,2022-10-30T21:19:49.123,3.125,0.244,-0.305,0.122
1667157589162,2022-10-30T21:19:49.162,3.164,0.091,-0.457,0.152
1667157589202,2022-10-30T21:19:49.202,3.204,0.183,-0.244,0.122
1667157589241,2022-10-30T21:19:49.241,3.243,-0.152,-0.061,0.152
1667157589281,2022-10-30T21:19:49.281,3.283,0.000,0.030,0.061
1667157589320,2022-10-30T21:19:49.320,3.322,0.061,-0.061,0.061
1667157589360,2022-10-30T21:19:49.360,3.362,0.152,0.000,0.061
1667157589400,2022-10-30T21:19:49.400,3.402,0.122,0.061,0.000
1667157589439,2022-10-30T21:19:49.439,3.441,-0.183,-0.030,0.122
1667157589479,2022-10-30T21:19:49.479,3.481,-0.152,0.000,0.000
1667157589518,2022-10-30T21:19:49.518,3.520,-0.091,0.000,-0.061
1667157589558,2022-10-30T21:19:49.558,3.560,-0.213,0.000,-0.122
1667157589597,2022-10-30T21:19:49.597,3.599,-0.244,-0.061,-0.091
1667157589637,2022-10-30T21:19:49.637,3.639,-0.152,-0.152,-0.091
1667157589676,2022-10-30T21:19:49.676,3.678,-0.244,-0.152,-0.091
1667157589716,2022-10-30T21:19:49.716,3.718,-0.091,-0.091,-0.061
1667157589755,2022-10-30T21:19:49.755,3.757,-0.091,0.122,-0.122
1667157589795,2022-10-30T21:19:49.795,3.797,-0.274,-0.122,-0.152
