epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1667827966757,2022-11-07T15:32:46.757,0.000,-0.024,0.146,-0.976
1667827966797,2022-11-07T15:32:46.797,0.040,-0.025,0.153,-0.981
1667827966837,2022-11-07T15:32:46.837,0.080,-0.023,0.149,-0.976
1667827966877,2022-11-07T15:32:46.877,0.120,-0.022,0.156,-0.974
1667827966917,2022-11-07T15:32:46.917,0.160,-0.026,0.152,-0.980
1667827966957,2022-11-07T15:32:46.957,0.200,-0.029,0.157,-0.984
1667827966997,2022-11-07T15:32:46.997,0.240,-0.028,0.152,-0.980
1667827967037,2022-11-07T15:32:47.037,0.280,-0.026,0.149,-0.977
1667827967077,2022-11-07T15:32:47.077,0.320,-0.030,0.142,-0.979
1667827967117,2022-11-07T15:32:47.117,0.360,-0.031,0.152,-0.979
1667827967157,2022-11-07T15:32:47.157,0.400,-0.030,0.146,-0.982
1667827967197,2022-11-07T15:32:47.197,0.440,-0.035,0.151,-0.981
1667827967237,2022-11-07T15:32:47.237,0.480,-0.031,0.150,-0.977
1667827967277,2022-11-07T15:32:47.277,0.520,-0.027,0.147,-0.973
1667827967317,2022-11-07T15:32:47.317,0.560,-0.036,0.152,-0.978
1667827967357,2022-11-07T15:32:47.357,0.600,-0.032,0.150,-0.978
1667827967397,2022-11-07T15:32:47.397,0.640,-0.037,0.146,-0.973
1667827967437,2022-11-07T15:32:47.437,0.680,-0.044,0.138,-0.977
1667827967477,2022-11-07T15:32:47.477,0.720,-0.052,0.146,-0.989
1667827967517,2022-11-07T15:32:47.517,0.760,-0.056,0.152,-0.988
1667827967557,2022-11-07T15:32:47.557,0.800,-0.052,0.147,-0.980
1667827967597,2022-11-07T15:32:47.597,0.840,-0.047,0.151,-0.974
1667827967637,2022-11-07T15:32:47.637,0.880,-0.048,0.146,-0.976
1667827967677,2022-11-07T15:32:47.677,0.920,-0.048,0.142,-0.974
1667827967717,2022-11-07T15:32:47.717,0.960,-0.049,0.142,-0.974
1667827967757,2022-11-07T15:32:47.757,1.000,-0.052,0.143,-0.980
1667827967797,2022-11-07T15:32:47.797,1.040,-0.056,0.147,-0.984
1667827967837,2022-11-07T15:32:47.837,1.080,-0.060,0.147,-0.986
1667827967877,2022-11-07T15:32:47.877,1.120,-0.054,0.145,-0.983
1667827967917,2022-11-07T15:32:47.917,1.160,-0.054,0.139,-0.977
1667827967957,2022-11-07T15:32:47.957,1.200,-0.054,0.140,-0.977
1667827967997,2022-11-07T15:32:47.997,1.240,-0.055,0.138,-0.982
1667827968037,2022-11-07T15:32:48.037,1.280,-0.058,0.141,-0.980
1667827968077,2022-11-07T15:32:48.077,1.320,-0.058,0.144,-0.987
1667827968117,2022-11-07T15:32:48.117,1.360,-0.063,0.137,-0.992
1667827968157,2022-11-07T15:32:48.157,1.400,-0.056,0.130,-0.977
1667827968197,2022-11-07T15:32:48.197,1.440,-0.045,0.132,-0.960
1667827968237,2022-11-07T15:32:48.237,1.480,-0.050,0.138,-0.965
1667827968277,2022-11-07T15:32:48.277,1.520,-0.062,0.136,-0.980
1667827968317,2022-11-07T15:32:48.317,1.560,-0.067,0.146,-0.985
1667827968357,2022-11-07T15:32:48.357,1.600,-0.065,0.141,-0.979
1667827968397,2022-11-07T15:32:48.397,1.640,-0.070,0.142,-0.977
1667827968437,2022-11-07T15:32:48.437,1.680,-0.073,0.148,-0.985
1667827968477,2022-11-07T15:32:48.477,1.720,-0.075,0.146,-0.989
1667827968517,2022-11-07T15:32:48.517,1.760,-0.080,0.132,-0.987
1667827968557,2022-11-07T15:32:48.557,1.800,-0.078,0.126,-0.985
1667827968597,2022-11-07T15:32:48.597,1.840,-0.073,0.116,-0.976
1667827968637,2022-11-07T15:32:48.637,1.880,-0.071,0.131,-0.972
1667827968677,2022-11-07T15:32:48.677,1.920,-0.072,0.142,-0.979
1667827968717,2022-11-07T15:32:48.717,1.960,-0.073,0.151,-0.980
1667827968757,2022-11-07T15:32:48.757,2.000,-0.072,0.150,-0.973
1667827968797,2022-11-07T15:32:48.797,2.040,-0.068,0.146,-0.972
1667827968837,2022-11-07T15:32:48.837,2.080,-0.070,0.147,-0.974
1667827968877,2022-11-07T15:32:48.877,2.120,-0.075,0.145,-0.980
1667827968917,2022-11-07T15:32:48.917,2.160,-0.079,0.139,-0.989
1667827968957,2022-11-07T15:32:48.957,2.200,-0.085,0.138,-0.990
1667827968997,2022-11-07T15:32:48.997,2.240,-0.082,0.134,-0.987
1667827969037,2022-11-07T15:32:49.037,2.280,-0.078,0.134,-0.979
1667827969077,2022-11-07T15:32:49.077,2.320,-0.077,0.131,-0.971
1667827969117,2022-11-07T15:32:49.117,2.360,-0.072,0.138,-0.972
1667827969157,2022-11-07T15:32:49.157,2.400,-0.077,0.140,-0.980
1667827969197,2022-11-07T15:32:49.197,2.440,-0.082,0.143,-0.985
1667827969237,2022-11-07T15:32:49.237,2.480,-0.081,0.136,-0.985
1667827969277,2022-11-07T15:32:49.277,2.520,-0.081,0.134,-0.981
1667827969317,2022-11-07T15:32:49.317,2.560,-0.079,0.131,-0.978
1667827969357,2022-11-07T15:32:49.357,2.600,-0.075,0.139,-0.973
1667827969397,2022-11-07T15:32:49.397,2.640,-0.069,0.142,-0.966
1667827969437,2022-11-07T15:32:49.437,2.680,-0.072,0.147,-0.966
1667827969477,2022-11-07T15:32:49.477,2.720,-0.078,0.154,-0.976
1667827969517,2022-11-07T15:32:49.517,2.760,-0.086,0.158,-0.987
1667827969557,2022-11-07T15:32:49.557,2.800,-0.091,0.155,-0.991
1667827969597,2022-11-07T15:32:49.597,2.840,-0.090,0.149,-0.991
1667827969637,2022-11-07T15:32:49.637,2.880,-0.087,0.137,-0.983
1667827969677,2022-11-07T15:32:49.677,2.920,-0.080,0.128,-0.971
1667827969717,2022-11-07T15:32:49.717,2.960,-0.082,0.133,-0.972
1667827969757,2022-11-07T15:32:49.757,3.000,-0.081,0.137,-0.975
1667827969797,2022-11-07T15:32:49.797,3.040,-0.085,0.147,-0.978
1667827969837,2022-11-07T15:32:49.837,3.080,-0.084,0.146,-0.978
1667827969877,2022-11-07T15:32:49.877,3.120,-0.079,0.147,-0.973
1667827969917,2022-11-07T15:32:49.917,3.160,-0.080,0.148,-0.973
1667827969957,2022-11-07T15:32:49.957,3.200,-0.079,0.152,-0.978
1667827969997,2022-11-07T15:32:49.997,3.240,-0.088,0.149,-0.988
1667827970037,2022-11-07T15:32:50.037,3.280,-0.089,0.144,-0.988
1667827970077,2022-11-07T15:32:50.077,3.320,-0.085,0.133,-0.977
1667827970117,2022-11-07T15:32:50.117,3.360,-0.078,0.132,-0.964
1667827970157,2022-11-07T15:32:50.157,3.400,-0.075,0.137,-0.962
1667827970197,2022-11-07T15:32:50.197,3.440,-0.083,0.147,-0.971
1667827970237,2022-11-07T15:32:50.237,3.480,-0.096,0.156,-0.988
1667827970277,2022-11-07T15:32:50.277,3.520,-0.095,0.149,-0.992
1667827970317,2022-11-07T15:32:50.317,3.560,-0.093,0.141,-0.983
1667827970357,2022-11-07T15:32:50.357,3.600,-0.088,0.141,-0.971
1667827970397,2022-11-07T15:32:50.397,3.640,-0.072,0.118,-0.956
1667827970437,2022-11-07T15:32:50.437,3.680,-0.072,0.126,-0.943
1667827970477,2022-11-07T15:32:50.477,3.720,-0.091,0.135,-0.964
1667827970517,2022-11-07T15:32:50.517,3.760,-0.114,0.151,-1.001
1667827970557,2022-11-07T15:32:50.557,3.800,-0.140,0.151,-1.032
1667827970597,2022-11-07T15:32:50.597,3.840,-0.137,0.134,-1.025
1667827970637,2022-11-07T15:32:50.637,3.880,-0.118,0.121,-0.997
1667827970677,2022-11-07T15:32:50.677,3.920,-0.109,0.117,-0.976
1667827970717,2022-11-07T15:32:50.717,3.960,-0.096,0.117,-0.962
1667827970757,2022-11-07T15:32:50.757,4.000,-0.086,0.129,-0.946
1667827970797,2022-11-07T15:32:50.797,4.040,-0.072,0.140,-0.935
1667827970837,2022-11-07T15:32:50.837,4.080,-0.075,0.164,-0.945
1667827970877,2022-11-07T15:32:50.877,4.120,-0.093,0.187,-0.970
1667827970917,2022-11-07T15:32:50.917,4.160,-0.111,0.187,-0.996
1667827970957,2022-11-07T15:32:50.957,4.200,-0.131,0.165,-1.014
1667827970997,2022-11-07T15:32:50.997,4.240,-0.134,0.121,-1.008
1667827971037,2022-11-07T15:32:51.037,4.280,-0.123,0.091,-0.982
1667827971077,2022-11-07T15:32:51.077,4.320,-0.121,0.078,-0.966
1667827971117,2022-11-07T15:32:51.117,4.360,-0.122,0.091,-0.972
1667827971157,2022-11-07T15:32:51.157,4.400,-0.115,0.113,-0.981
1667827971197,2022-11-07T15:32:51.197,4.440,-0.120,0.136,-0.985
1667827971237,2022-11-07T15:32:51.237,4.480,-0.122,0.147,-0.982
