epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1668442739225,2022-11-14T18.18.59.225,0.000,-0.313,0.122,-0.936
1668442739265,2022-11-14T18.18.59.265,0.040,-0.314,0.119,-0.945
1668442739305,2022-11-14T18.18.59.305,0.080,-0.314,0.118,-0.946
1668442739345,2022-11-14T18.18.59.345,0.120,-0.312,0.117,-0.943
1668442739385,2022-11-14T18.18.59.385,0.160,-0.314,0.118,-0.943
1668442739425,2022-11-14T18.18.59.425,0.200,-0.313,0.116,-0.942
1668442739465,2022-11-14T18.18.59.465,0.240,-0.315,0.120,-0.942
1668442739505,2022-11-14T18.18.59.505,0.280,-0.316,0.118,-0.941
1668442739545,2022-11-14T18.18.59.545,0.320,-0.313,0.117,-0.944
1668442739585,2022-11-14T18.18.59.585,0.360,-0.314,0.120,-0.943
1668442739625,2022-11-14T18.18.59.625,0.400,-0.315,0.118,-0.940
1668442739665,2022-11-14T18.18.59.665,0.440,-0.315,0.119,-0.942
1668442739705,2022-11-14T18.18.59.705,0.480,-0.315,0.115,-0.947
1668442739745,2022-11-14T18.18.59.745,0.520,-0.314,0.114,-0.941
1668442739785,2022-11-14T18.18.59.785,0.560,-0.316,0.121,-0.939
1668442739825,2022-11-14T18.18.59.825,0.600,-0.313,0.122,-0.942
1668442739865,2022-11-14T18.18.59.865,0.640,-0.316,0.122,-0.938
1668442739905,2022-11-14T18.18.59.905,0.680,-0.316,0.114,-0.940
1668442739945,2022-11-14T18.18.59.945,0.720,-0.318,0.124,-0.944
1668442739985,2022-11-14T18.18.59.985,0.760,-0.315,0.121,-0.944
1668442740025,2022-11-14T18.19.00.025,0.800,-0.314,0.114,-0.941
1668442740065,2022-11-14T18.19.00.065,0.840,-0.312,0.121,-0.943
1668442740105,2022-11-14T18.19.00.105,0.880,-0.315,0.125,-0.942
1668442740145,2022-11-14T18.19.00.145,0.920,-0.312,0.120,-0.943
1668442740185,2022-11-14T18.19.00.185,0.960,-0.313,0.117,-0.942
1668442740225,2022-11-14T18.19.00.225,1.000,-0.313,0.120,-0.941
1668442740265,2022-11-14T18.19.00.265,1.040,-0.315,0.124,-0.942
1668442740305,2022-11-14T18.19.00.305,1.080,-0.312,0.118,-0.945
1668442740345,2022-11-14T18.19.00.345,1.120,-0.314,0.121,-0.943
1668442740385,2022-11-14T18.19.00.385,1.160,-0.315,0.122,-0.941
1668442740425,2022-11-14T18.19.00.425,1.200,-0.313,0.116,-0.942
1668442740465,2022-11-14T18.19.00.465,1.240,-0.309,0.116,-0.945
1668442740505,2022-11-14T18.19.00.505,1.280,-0.314,0.122,-0.943
1668442740545,2022-11-14T18.19.00.545,1.320,-0.310,0.125,-0.940
1668442740585,2022-11-14T18.19.00.585,1.360,-0.312,0.120,-0.940
1668442740625,2022-11-14T18.19.00.625,1.400,-0.314,0.123,-0.943
1668442740665,2022-11-14T18.19.00.665,1.440,-0.314,0.119,-0.944
1668442740705,2022-11-14T18.19.00.705,1.480,-0.312,0.118,-0.941
1668442740745,2022-11-14T18.19.00.745,1.520,-0.312,0.124,-0.940
1668442740785,2022-11-14T18.19.00.785,1.560,-0.313,0.126,-0.940
1668442740825,2022-11-14T18.19.00.825,1.600,-0.312,0.122,-0.942
