epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1667755281673,2022-11-06T19.21.21.673,0.000,0.457,-0.030,0.427
1667755281713,2022-11-06T19.21.21.713,0.040,0.793,-0.152,0.335
1667755281753,2022-11-06T19.21.21.753,0.080,0.671,-0.061,0.518
1667755281793,2022-11-06T19.21.21.793,0.120,0.640,-0.091,0.610
1667755281833,2022-11-06T19.21.21.833,0.160,0.854,-0.030,0.579
1667755281873,2022-11-06T19.21.21.873,0.200,0.823,-0.122,0.488
1667755281913,2022-11-06T19.21.21.913,0.240,0.457,-0.091,0.579
1667755281953,2022-11-06T19.21.21.953,0.280,0.671,-0.122,0.549
1667755281993,2022-11-06T19.21.21.993,0.320,0.549,-0.183,0.457
1667755282033,2022-11-06T19.21.22.033,0.360,0.396,0.030,0.579
1667755282073,2022-11-06T19.21.22.073,0.400,0.671,-0.030,0.457
1667755282113,2022-11-06T19.21.22.113,0.440,0.549,-0.366,0.457
1667755282153,2022-11-06T19.21.22.153,0.480,0.762,-0.335,0.305
1667755282193,2022-11-06T19.21.22.193,0.520,0.671,-0.183,0.488
1667755282233,2022-11-06T19.21.22.233,0.560,0.488,-0.335,0.793
1667755282273,2022-11-06T19.21.22.273,0.600,0.427,-0.457,0.976
1667755282313,2022-11-06T19.21.22.313,0.640,0.762,-0.244,0.671
1667755282353,2022-11-06T19.21.22.353,0.680,0.427,0.030,0.610
1667755282393,2022-11-06T19.21.22.393,0.720,0.762,0.244,0.549
1667755282433,2022-11-06T19.21.22.433,0.760,1.220,-0.122,0.305
1667755282473,2022-11-06T19.21.22.473,0.800,0.762,0.030,0.366
1667755282513,2022-11-06T19.21.22.513,0.840,0.610,0.030,0.274
1667755282553,2022-11-06T19.21.22.553,0.880,0.732,0.061,0.213
1667755282593,2022-11-06T19.21.22.593,0.920,1.067,-0.061,0.152
1667755282633,2022-11-06T19.21.22.633,0.960,0.610,-0.061,0.427
1667755282673,2022-11-06T19.21.22.673,1.000,0.457,-0.122,0.305
